date,VT,BWX,GLD,SHV
2013-03-12,28.8358,25.1379,154.19000244140625,88.92442321777344
2013-03-13,28.8058,25.0379,153.66000366210938,88.92442321777344
2013-03-14,29.1758,25.1129,153.67999267578125,88.92442321777344
2013-03-15,29.0258,25.2629,154.0,88.92442321777344
2013-03-18,28.6858,25.2079,155.3800048828125,88.9163589477539
2013-03-19,28.3258,25.1829,156.0800018310547,88.9163589477539
2013-03-20,28.7758,25.1579,155.3699951171875,88.9163589477539
2013-03-21,28.3658,25.2579,156.25,88.92442321777344
2013-03-22,28.7198,25.4129,155.5500030517578,88.93247985839844
2013-03-25,28.4098,25.3279,155.24000549316406,88.92442321777344
2013-03-26,28.7998,25.2879,154.72000122070312,88.92442321777344
2013-03-27,28.7398,25.2479,155.36000061035156,88.93247985839844
2013-03-28,28.9498,25.3379,154.4499969482422,88.92442321777344
2013-04-01,28.4998,25.3779,154.6699981689453,88.9163589477539
2013-04-02,28.8098,25.3629,152.42999267578125,88.9163589477539
2013-04-03,28.2398,25.4479,150.72999572753906,88.92442321777344
2013-04-04,28.5298,25.4879,150.2899932861328,88.92442321777344
2013-04-05,28.3598,25.6829,152.80999755859375,88.92442321777344
2013-04-08,28.6098,25.5729,152.16000366210938,88.93247985839844
2013-04-09,28.7698,25.7029,153.33999633789062,88.92442321777344
2013-04-10,29.4798,25.4979,150.75,88.93247985839844
2013-04-11,29.7398,25.5879,151.0500030517578,88.93247985839844
2013-04-12,29.5098,25.6229,143.9499969482422,88.93247985839844
2013-04-15,28.1998,25.6129,131.30999755859375,88.93247985839844
2013-04-16,29.0398,25.7829,132.8000030517578,88.93247985839844
2013-04-17,28.1098,25.5679,132.8699951171875,88.93247985839844
2013-04-18,27.8698,25.6229,134.3000030517578,88.92442321777344
2013-04-19,28.4398,25.5329,135.47000122070312,88.93247985839844
2013-04-22,28.6098,25.6529,137.89999389648438,88.93247985839844
2013-04-23,29.1898,25.5729,136.8800048828125,88.92442321777344
2013-04-24,29.4098,25.6029,138.3699951171875,88.92442321777344
2013-04-25,29.7098,25.6129,141.6300048828125,88.93247985839844
2013-04-26,29.5698,25.7829,140.91000366210938,88.93247985839844
2013-04-29,30.0898,25.9679,142.3000030517578,88.93247985839844
2013-04-30,30.3498,26.1229,142.77000427246094,88.94054412841797
2013-05-01,29.8298,26.1816,141.11000061035156,88.92442321777344
2013-05-02,30.2398,26.0816,141.9199981689453,88.92442321777344
2013-05-03,30.8198,25.9966,142.08999633789062,88.93247985839844
2013-05-06,30.8798,25.8616,142.14999389648438,88.93247985839844
2013-05-07,31.1098,25.7866,140.3800048828125,88.93247985839844
2013-05-08,31.4898,25.9766,142.4600067138672,88.93247985839844
2013-05-09,31.2198,25.6966,140.80999755859375,88.94054412841797
2013-05-10,31.2398,25.3416,139.60000610351562,88.94054412841797
2013-05-13,31.1998,25.2466,138.42999267578125,88.94054412841797
2013-05-14,31.5498,25.1016,137.80999755859375,88.94054412841797
2013-05-15,31.7598,25.0066,134.6300048828125,88.94054412841797
2013-05-16,31.4698,25.0616,134.08999633789062,88.93247985839844
2013-05-17,31.9198,24.9116,131.07000732421875,88.93247985839844
2013-05-20,31.9798,24.9966,135.1199951171875,88.93247985839844
2013-05-21,32.0598,24.9766,132.8800048828125,88.93247985839844
2013-05-22,31.4998,24.7666,131.94000244140625,88.93247985839844
2013-05-23,31.2498,24.9316,134.61000061035156,88.92442321777344
2013-05-24,30.9198,24.9616,133.75999450683594,88.93247985839844
2013-05-28,31.1298,24.6866,133.49000549316406,88.92442321777344
2013-05-29,30.7198,24.7616,134.8300018310547,88.92442321777344
2013-05-30,30.9798,24.9066,136.6999969482422,88.92442321777344
2013-05-31,30.0498,24.8216,133.9199981689453,88.93247985839844
2013-06-03,30.3798,25.1132,136.50999450683594,88.94054412841797
2013-06-04,30.1798,24.9782,135.22999572753906,88.94054412841797
2013-06-05,29.2798,25.0232,135.52000427246094,88.94054412841797
2013-06-06,29.7198,25.3332,136.52999877929688,88.94054412841797
2013-06-07,30.1998,25.3082,133.27999877929688,88.93247985839844
2013-06-10,30.2298,25.0732,133.94000244140625,88.94054412841797
2013-06-11,29.5198,25.3282,133.25,88.93247985839844
2013-06-12,29.2298,25.4082,134.25,88.92442321777344
2013-06-13,30.0098,25.6232,133.74000549316406,88.93247985839844
2013-06-14,29.5498,25.7532,134.42999267578125,88.94054412841797
2013-06-17,30.0998,25.7132,133.77000427246094,88.94054412841797
2013-06-18,30.4998,25.5832,132.1300048828125,88.93247985839844
2013-06-19,29.5498,25.1482,130.58999633789062,88.93247985839844
2013-06-20,27.9398,24.6482,123.5999984741211,88.92442321777344
2013-06-21,28.0398,24.3382,125.0500030517578,88.92442321777344
2013-06-24,27.2388,24.2432,123.93000030517578,88.93247985839844
2013-06-25,27.9088,24.3232,123.47000122070312,88.93247985839844
2013-06-26,28.2988,24.3882,118.27999877929688,88.92442321777344
2013-06-27,28.8288,24.5232,115.94000244140624,88.92442321777344
2013-06-28,28.6188,24.3282,119.11000061035156,88.9163589477539
2013-07-01,29.0488,24.4064,121.12999725341795,88.93247985839844
2013-07-02,28.7588,24.2364,120.0500030517578,88.93247985839844
2013-07-03,28.8388,24.3114,120.73999786376952,88.93247985839844
2013-07-05,29.2088,23.9464,118.08999633789062,88.94054412841797
2013-07-08,29.4088,24.0214,119.51000213623048,88.94054412841797
2013-07-09,29.7588,24.0264,120.62000274658205,88.94054412841797
2013-07-10,29.8288,24.1564,120.9499969482422,88.94054412841797
2013-07-11,30.9888,24.6114,124.23999786376952,88.92442321777344
2013-07-12,30.8588,24.5164,124.12999725341795,88.93247985839844
2013-07-15,31.1388,24.5414,124.18000030517578,88.92442321777344
2013-07-16,30.9788,24.8314,124.88999938964844,88.93247985839844
2013-07-17,31.1988,24.7464,123.31999969482422,88.94054412841797
2013-07-18,31.4788,24.7214,124.01000213623048,88.93247985839844
2013-07-19,31.4788,24.7514,125.11000061035156,88.93247985839844
2013-07-22,31.7288,24.9514,128.83999633789062,88.92442321777344
2013-07-23,31.7588,25.0414,129.7100067138672,88.92442321777344
2013-07-24,31.5788,24.7664,127.4800033569336,88.93247985839844
2013-07-25,31.6888,24.9514,128.6699981689453,88.93247985839844
2013-07-26,31.5488,25.0614,128.77999877929688,88.93247985839844
2013-07-29,31.2588,25.0364,128.47000122070312,88.93247985839844
2013-07-30,31.2188,24.9464,128.1199951171875,88.92442321777344
2013-07-31,31.2788,25.0014,127.95999908447266,88.94054412841797
2013-08-01,31.9988,24.67,126.61000061035156,88.93247985839844
2013-08-02,32.1588,24.89,126.36000061035156,88.93247985839844
2013-08-05,32.0388,24.925,125.6999969482422,88.94054412841797
2013-08-06,31.7788,24.98,123.97000122070312,88.94054412841797
2013-08-07,31.4688,25.225,124.1500015258789,88.94054412841797
2013-08-08,31.9588,25.39,126.86000061035156,88.94054412841797
2013-08-09,31.9188,25.365,126.86000061035156,88.93247985839844
2013-08-12,31.8888,25.255,129.1300048828125,88.94054412841797
2013-08-13,32.1488,25.0,127.73999786376952,88.94054412841797
2013-08-14,32.0288,24.945,129.0,88.93247985839844
2013-08-15,31.3888,25.04,131.69000244140625,88.94054412841797
2013-08-16,31.3188,24.98,132.5800018310547,88.94054412841797
2013-08-19,30.8788,24.825,132.00999450683594,88.92442321777344
2013-08-20,31.0488,24.955,132.4499969482422,88.94054412841797
2013-08-21,30.4888,24.765,132.07000732421875,88.92442321777344
2013-08-22,30.9688,24.7,132.80999755859375,88.92442321777344
